AllPrograms
Program,Category,University,Grade Range,Co-op Available,Prerequisites
Bachelor of Arts ,Biological Sciences,Nipissing University,Min. 70%,Not Available,Computer Science or Mathematics majors: ENG4U/EAE4U MCV4U One 4U Math Economics major: ENG4U/EAE4U One 4U Math All other majors: ENG4U/EAE4U
Bachelor of Arts/Bachelor of Commerce ,Biological Sciences,Nipissing University,Min. 70%,Not Available,Computer Science and Mathematics majors: ENG4U/EAE4U MCV4U 1 other 4U Math Economics major: ENG4U/EAE4U 1 other 4U Math All other majors: ENG4U/EAE4U
Bachelor of Physical and Health Education ,Biological Sciences,Nipissing University,Min. 70%. 120 students (max) will be admitted; therefore the actual admission average may be higher.,Embedded community engagement/volunteerism/partnership,ENG4U/EAE4U SBI4U or PSK4U SCH4U and 4U Math are recommended
Bachelor of Science ,Biological Sciences,Nipissing University,Min. 70%,Not Available,Biology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U or MHF4U Computer Science major: ENG4U/EAE4U MCV4U 1 other 4U math 1 of SBI4U SCH4U or SPH4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Bachelor of Science/Bachelor of Commerce ,Biological Sciences,Nipissing University,70% and above,Not Available,Biology major: ENG4U/EAE4U/NBE4U SBI4U SCH4U 1 of MCV4U or MHF4U Computer Science major: ENG4U/EAE4U/NBE4U MCV4U 1 other 4U Math 1 of SBI4U SCH4U or SPH4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U/NBE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U/NBE4U One 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U/NBE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U/NBE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Concurrent Bachelor of Arts/Bachelor of Education Intermediate/Senior ,Biological Sciences,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science and Mathematics majors: ENG4U/EAE4U MCV4U One 4U Math All other majors: ENG4U/EAE4U/NBE4U
Concurrent Bachelor of Arts/Bachelor of Education Junior/Intermediate ,Biological Sciences,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science and Mathematics majors: ENG4U/EAE4U MCV4U One 4U Math All other majors: ENG4U/EAE4U
Concurrent Bachelor of Arts/Bachelor of Education Primary/Junior ,Biological Sciences,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science and Mathematics majors: ENG4U/EAE4U MCV4U One 4U Math All other majors: ENG4U/EAE4U
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Intermediate/Senior ,Biological Sciences,Nipissing University,70%  -  This is a highly competitive limited-enrollment program. The actual admission average may be higher.,Practicum or internship option available,ENG4U/EAE4U (minimum 70%) SBI4U or PSK4U SCH4U and 4U Math are recommended Minimum 60% in 3U 3M or 4U Math
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Junior/Intermediate ,Biological Sciences,Nipissing University,70%  -  This is a highly competitive limited-enrollment program. The actual admission average may be higher.,Practicum or internship option available,ENG4U/EAE4U (minimum 70%) SBI4U or PSK4U SCH4U and 4U Math are recommended Minimum 60% in 3U 3M or 4U Math
Concurrent Bachelor of Physical and Health Education/Bachelor of Education Primary/Junior ,Biological Sciences,Nipissing University,70%  -  This is a highly competitive limited-enrollment program. The actual admission average may be higher.,Practicum or internship option available,ENG4U/EAE4U (minimum 70%) SBI4U or PSK4U SCH4U and 4U Math are recommended Minimum 60% in 3U 3M of 4U Math
Concurrent Bachelor of Science/Bachelor of Education Intermediate/Senior ,Biological Sciences,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science major: ENG4U/EAE4U MCV4U 1 other 4U Math 1 of SBI4U SCH4U or SPH4U Biology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U or MHF4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Concurrent Bachelor of Science/Bachelor of Education Junior/Intermediate ,Biological Sciences,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science major: ENG4U/EAE4U MCV4U 1 other 4U Math 1 of SBI4U SCH4U or SPH4U Biology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U or MHF4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Concurrent Bachelor of Science/Bachelor of Education Primary/Junior ,Biological Sciences,Nipissing University,70%,Practicum or internship option available,In addition to the requirements for the following majors all applicants to Concurrent Education must have a minimum 70% in ENG4U/EAE4U and 60% in 3U 3M or 4U math. Computer Science major: ENG4U/EAE4U MCV4U 1 other 4U Math 1 of SBI4U SCH4U or SPH4U Biology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U or MHF4U Data Science major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Environmental Biology and Technology major: ENG4U/EAE4U SBI4U SCH4U 1 of MCV4U MHF4U or SPH4U Environment and Physical Geography major: ENG4U/EAE4U 4U Math 1 of SCH4U or SPH4U Mathematics major: ENG4U/EAE4U MCV4U MHF4U 1 of SBI4U SCH4U or SPH4U Psychology major: ENG4U/EAE4U 4U Math 1 of SBI4U SCH4U or SPH4U
Applied Biotechnology ,Biological Sciences,Ontario Tech University,Low 70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Applied Biotechnology (Co-op) ,Biological Sciences,Ontario Tech University,Low 80s,Co-op program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Biological Science ,Biological Sciences,Ontario Tech University,Low 70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Biological Science (Co-op) ,Biological Sciences,Ontario Tech University,Low 70s,Co-op program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Biomedical Science ,Biological Sciences,Ontario Tech University,Low 70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Biomedical Science (Co-op) ,Biological Sciences,Ontario Tech University,Low 70s,Co-op program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Chemical Biology ,Biological Sciences,Ontario Tech University,Low 70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Chemical Biology (Co-op) ,Biological Sciences,Ontario Tech University,Low 70s,Co-op program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Environmental Biology ,Biological Sciences,Ontario Tech University,Low 70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Environmental Biology (Co-op) ,Biological Sciences,Ontario Tech University,Low 70s,Co-op program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Forensic Psychology ,Biological Sciences,Ontario Tech University,Low 70s,Practicum or internship option available,Six 4U/M credits including ENG4U We recommend you take SBI4U and one of MHF4U MCV4U or MDM4U.
Health Physics and Radiation Science ,Biological Sciences,Ontario Tech University,Low 70s,Co-op or internship option available,Six 4U/M credits including ENG4U (minimum 60%) MHF4U And two of: MCV4U SCH4U SBI4U SPH4U Combined minimum average of 70% in prerequisite Math and Science courses with no grade below 60%
Kinesiology ,Biological Sciences,Ontario Tech University,Low-70s,Practicum or internship option available,Six 4U/M credits including ENG4U (minimum 60%) and SBI4U One of MHF4U MCV4U or MDM4U
Marine Biology ,Biological Sciences,Ontario Tech University,Low 70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U 2 of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Marine Biology (Co-op) ,Biological Sciences,Ontario Tech University,Low 70s,Co-op program,Six 4U/M credits including ENG4U and MHF4U 2 of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Neuroscience ,Biological Sciences,Ontario Tech University,Low 70s,Co-op option available with this program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Neuroscience (Co-op) ,Biological Sciences,Ontario Tech University,Low 70s,Co-op program,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U A combined minimum 70% average in prerequisite math and science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U
Psychology  -  Bachelor of Arts ,Biological Sciences,Ontario Tech University,Low 70s,Practicum or internship option available,Six 4U/M credits including ENG4U We recommend you take SBI4U and one of MHF4U MCV4U or MDM4U.
Psychology  -  Bachelor of Science ,Biological Sciences,Ontario Tech University,Low 70s,Practicum or internship option available,Six 4U/M credits including ENG4U and MHF4U Two of MCV4U SBI4U SCH4U or SPH4U Combined minimum average of 70% in Math and Science courses We recommend you take all 4 of MCV4U SBI4U SCH4U and SPH4U.
Biochemistry (4 years) (French Immersion Stream is available),Biological Sciences,University of Ottawa,Mid-80s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U 2 of SBI4U SCH4U SPH4U SES4U A combined minimum average of 70% is required for all prerequisite courses in science and mathematics. If you are missing MCV4U you may take the equivalent course at the university the summer before or during your first semester. Visit the Faculty of Science website for recommended courses.
Biology (4 years) (French Immersion Stream is available),Biological Sciences,University of Ottawa,Low-80s,Co-op option available with this program,ENG4U or FRA4U MHF4U MCV4U 2 of SBI4U SCH4U SPH4U SES4U A combined minimum average of 70% is required for all prerequisite courses in science and mathematics. If you are missing MCV4U you may take the equivalent course at the university the summer before or during your first semester. Visit the Faculty of Science website for recommended courses.
